Stage	Genotype	Mutant_Side	Video
Juv	FoxP1 half	right	155_2023-01-17_11-16-02__FoxP1halfEn1half_Stg575859Juv_21
Juv	FoxP1 half	right	155_2023-01-17_11-16-02__FoxP1halfEn1half_Stg575859Juv_21
Juv	FoxP1 half	right	154_2023-01-10_12-46-03_En1halfFoxP1half_Stg6465Juv_24
Juv	FoxP1 half	right	154_2023-01-10_11-46-00_En1halfFoxP1half_Stg6465Juv_14
Juv	FoxP1 half	right	153_2023-01-09_14-31-05_FoxP1halfEn1half_Stg6465Juv_26
Juv	FoxP1 half	right	153_2023-01-09_14-31-05_FoxP1halfEn1half_Stg6465Juv_25
Juv	FoxP1 half	right	153_2023-01-09_14-31-05_FoxP1halfEn1half_Stg6465Juv_22
Juv	FoxP1 half	right	153_2023-01-09_13-31-02_FoxP1halfEn1half_Stg6465Juv_16
Juv	FoxP1 half	right	153_2023-01-09_13-31-02_FoxP1halfEn1half_Stg6465Juv_15
Juv	FoxP1 half	right	153_2023-01-09_13-31-02_FoxP1halfEn1half_Stg6465Juv_12
63-64	FoxP1 half	left	164_2023-01-27_15-16-02_HoxC9FoxP1halfWT_Stg646137_2_1
63-64	FoxP1 half	right	150_2023-01-03_12-46-03_FoxP1half_Stg636465_2_3
63-64	FoxP1 half	left	150_2023-01-03_11-46-00_FoxP1half_Stg636465_1_4
63-64	FoxP1 half	right	150_2023-01-03_11-46-00_FoxP1half_Stg636465_1_3
63-64	FoxP1 half	right	149_2022-12-30_16-46-02_FoxP1half_Stg626364_2_2
63-64	FoxP1 half	right	149_2022-12-30_15-46-00_FoxP1half_Stg626364_1_2
63-64	FoxP1 half	left	146_2022-12-20_10-46-17_En1halfFoxP1half_Stg6364_2_3
63-64	FoxP1 half	left	146_2022-12-20_10-46-17_En1halfFoxP1half_Stg6364_2_1
63-64	FoxP1 half	left	146_2022-12-19_13-01-00_En1halfFoxP1half_Stg6364_1_3
63-64	FoxP1 half	left	146_2022-12-19_13-01-00_En1halfFoxP1half_Stg6364_1_1
63-64	FoxP1 half	right	142_2022-12-15_14-46-03_FoxP1half_Stg6364_2_2
63-64	FoxP1 half	right	142_2022-12-15_14-46-03_FoxP1half_Stg6364_2_1
63-64	FoxP1 half	right	142_2022-12-15_13-46-00_FoxP1half_Stg6364_1_2
63-64	FoxP1 half	right	142_2022-12-15_13-46-00_FoxP1half_Stg6364_1_1
59-62	FoxP1 half	left	166_2023-01-31_16-31-03_FoxP1halfHoxC9half_Stg6252_2_1
59-62	FoxP1 half	left	166_2023-01-31_15-31-00_FoxP1halfHoxC9half_Stg6252_1_1
59-62	FoxP1 half	left	159_2023-01-20_14-01-02_FoxP1halfWT_Stg575862_23
59-62	FoxP1 half	left	159_2023-01-20_13-01-00_FoxP1halfWT_Stg575862_13
59-62	FoxP1 half	left	155_2023-01-17_11-16-02__FoxP1halfEn1half_Stg575859Juv_24
59-62	FoxP1 half	left	155_2023-01-17_10-16-00_FoxP1halfEn1half_Stg575859Juv_14
59-62	FoxP1 half	right	137_2022-12-05_13-31-02_FoxP1half_Stg59606163_26
59-62	FoxP1 half	right	137_2022-12-05_12-31-00_FoxP1half_Stg59606163_16
59-62	FoxP1 half	left	137_2022-12-05_12-31-00_FoxP1half_Stg59606163_13
Juv	FoxP1 half	right	149_2022-12-30_15-46-00_FoxP1half_Stg626364_11
Juv	FoxP1 half	right	149_2022-12-30_15-46-00_FoxP1half_Stg626364_14
Juv	FoxP1 half	right	149_2022-12-30_16-46-02_FoxP1half_Stg626364_21
Juv	FoxP1 half	right	149_2022-12-30_16-46-02_FoxP1half_Stg626364_24
Juv	FoxP1 half	right	150_2023-01-03_11-46-00_FoxP1half_Stg636465_11
Juv	FoxP1 half	right	150_2023-01-03_12-46-03_FoxP1half_Stg636465_21
Juv	FoxP1 half	right	152_2023-01-05_13-16-00_En1half_Stg6466_12
Juv	FoxP1 half	right	152_2023-01-05_14-16-02_En1half_Stg6466_22
Juv	En1 half Genotyped	left	220_2023-02-28 19-46-03_En1halfGEN_StgJuv_2_1
Juv	En1 half Genotyped	left	220_2023-02-28 19-46-03_En1halfGEN_StgJuv_2_2
Juv	En1 half Genotyped	right	220_2023-02-28 19-46-03_En1halfGEN_StgJuv_2_3
Juv	En1 half Genotyped	left	220_2023-02-28 19-46-03_En1halfGEN_StgJuv_2_4
Juv	En1 half Genotyped	right	220_2023-02-28 19-46-03_En1halfGEN_StgJuv_2_5
Juv	En1 half Genotyped	left	220_2023-02-28_18-46-00_En1halfGEN_StgJuv_1_1
Juv	En1 half Genotyped	left	220_2023-02-28_18-46-00_En1halfGEN_StgJuv_1_2
Juv	En1 half Genotyped	right	220_2023-02-28_18-46-00_En1halfGEN_StgJuv_1_3
Juv	En1 half Genotyped	left	220_2023-02-28_18-46-00_En1halfGEN_StgJuv_1_4
Juv	En1 half Genotyped	right	220_2023-02-28_18-46-00_En1halfGEN_StgJuv_1_5
Juv	En1 half Genotyped	left	222_2023-03-01_09-16-00_En1halfGEN_StgJuv_1_1
Juv	En1 half Genotyped	left	222_2023-03-01_10-16-03_En1halfGEN_StgJuv_2_1
